surname,RANK,FREQUENCY (COUNT),"PROPORTION PER 100,000 POPULATION",CUMULATIVE PROPORTION,White,Black,Asian,Native,PERCENT NON-HISPANIC OR LATINO TWO OR MORE RACES,Latino
BELL,106,"220,599",74.8,"17,771.40",61.1,32.4,0.6,1,2.5,2.5
COLEMAN,107,"219,070",74.3,"17,845.70",49.4,44.6,0.4,0.5,2.8,2.3
BUTLER,108,"218,847",74.2,"17,919.90",62.4,31.5,0.5,0.8,2.5,2.4
HENDERSON,109,"218,393",74,"17,993.90",59.6,34,0.5,0.9,2.6,2.5
BARNES,110,"218,241",74,"18,067.90",64.8,29.3,0.5,0.8,2.4,2.3
GONZALES,111,"214,758",72.8,"18,140.70",9.8,1,3.8,0.8,0.6,84.1
FISHER,112,"214,703",72.8,"18,213.50",82.6,11.8,0.6,0.8,1.9,2.4
VASQUEZ,113,"212,781",72.1,"18,285.60",5.1,0.5,0.7,0.3,0.2,93.2
SIMMONS,114,"210,182",71.3,"18,356.90",57.9,36.2,0.5,0.7,2.5,2.3
ROMERO,115,"208,614",70.7,"18,427.60",8.7,0.5,1.3,0.7,0.4,88.5
JORDAN,116,"208,403",70.7,"18,498.20",61.4,30.7,0.6,0.7,2.5,4.1
PATTERSON,117,"205,423",69.6,"18,567.90",67.3,26.8,0.5,0.7,2.4,2.4
ALEXANDER,118,"204,621",69.4,"18,637.20",58.2,34,1.2,0.7,2.7,3.2
HAMILTON,119,"201,746",68.4,"18,705.60",70.2,23.7,0.5,0.8,2.3,2.5
GRAHAM,120,"201,159",68.2,"18,773.80",70,24,0.5,0.8,2.1,2.6
REYNOLDS,121,"200,247",67.9,"18,841.70",81.1,13.2,0.5,0.7,2,2.5
GRIFFIN,122,"198,406",67.3,"18,909.00",63.8,30.8,0.4,0.5,2.3,2.2
WALLACE,123,"197,276",66.9,"18,975.80",69.2,24.7,0.5,0.8,2.3,2.5
MORENO,124,"196,925",66.8,"19,042.60",6.1,0.4,0.7,0.4,0.2,92.2
WEST,125,"195,818",66.4,"19,109.00",75.5,18.5,0.5,0.8,2.3,2.5
COLE,126,"195,289",66.2,"19,175.20",75.3,18.9,0.6,0.7,2.1,2.4
HAYES,127,"194,246",65.9,"19,241.00",69.4,24.7,0.5,0.8,2.3,2.3
BRYANT,128,"192,773",65.4,"19,306.40",58.5,35.6,0.4,0.9,2.5,2.2
HERRERA,129,"192,711",65.3,"19,371.70",4.9,0.4,1,0.5,0.2,93
GIBSON,130,"190,667",64.6,"19,436.40",72.1,21.8,0.5,1,2.3,2.3
ELLIS,131,"188,968",64.1,"19,500.40",70.4,23.5,0.5,0.7,2.2,2.7
TRAN,132,"188,498",63.9,"19,564.30",1.4,0.1,96,0,1.7,0.8
MEDINA,133,"188,497",63.9,"19,628.20",5.7,0.6,1.9,0.3,0.3,91.2
AGUILAR,134,"186,512",63.2,"19,691.50",4,0.3,1.6,0.5,0.2,93.3
STEVENS,135,"185,674",62.9,"19,754.40",81.4,11.8,0.6,1.3,2,2.7
MURRAY,136,"184,910",62.7,"19,817.10",74.9,19.3,0.6,0.6,2,2.6
FORD,137,"184,832",62.7,"19,879.70",62.1,32,0.5,0.6,2.5,2.4
CASTRO,138,"184,134",62.4,"19,942.20",7.3,0.7,3.7,0.2,0.6,87.4
MARSHALL,139,"183,922",62.4,"20,004.50",66,27.5,0.6,1,2.3,2.6
OWENS,140,"182,719",61.9,"20,066.50",65.9,28.4,0.4,0.8,2.5,2.2
HARRISON,141,"181,091",61.4,"20,127.90",68.7,24.5,0.5,1.4,2.3,2.7
FERNANDEZ,142,"180,842",61.3,"20,189.20",8.8,1.2,5.4,0.2,0.9,83.6
MCDONALD,143,"180,497",61.2,"20,250.30",76.7,17.3,0.6,0.8,2,2.7
WOODS,144,"177,425",60.2,"20,310.50",58.3,35.3,0.4,0.9,2.7,2.4
WASHINGTON,145,"177,386",60.1,"20,370.60",5.2,87.5,0.3,0.7,3.8,2.5
KENNEDY,146,"176,865",60,"20,430.60",80.8,13.6,0.6,0.6,1.9,2.5
WELLS,147,"176,230",59.7,"20,490.30",74,20,0.5,0.9,2.2,2.4
VARGAS,148,"173,835",58.9,"20,549.30",5.4,0.4,0.9,0.2,0.2,92.9
HENRY,149,"170,964",58,"20,607.20",61.4,30.7,0.8,1.9,2.3,2.8
CHEN,150,"169,580",57.5,"20,664.70",1.4,0.3,96.1,0,1.6,0.5
FREEMAN,151,"169,149",57.3,"20,722.10",65.5,28.3,0.5,1,2.4,2.3
WEBB,152,"168,878",57.3,"20,779.30",75.5,19.1,0.5,0.7,2,2.3
TUCKER,153,"167,446",56.8,"20,836.10",70,24.2,0.5,0.8,2.3,2.4
GUZMAN,154,"167,044",56.6,"20,892.70",4.1,0.4,1.3,0.2,0.3,93.8
BURNS,155,"165,925",56.3,"20,948.90",80.3,14.1,0.6,0.8,1.8,2.5
CRAWFORD,156,"164,457",55.8,"21,004.70",68.6,25.7,0.5,0.8,2.3,2.2
OLSON,157,"164,035",55.6,"21,060.30",94.8,0.4,0.7,0.7,1.4,2
SIMPSON,158,"163,181",55.3,"21,115.60",70.8,23.1,0.5,0.8,2.3,2.5
PORTER,159,"163,054",55.3,"21,170.90",68.6,25.4,0.6,0.7,2.3,2.5
HUNTER,160,"162,440",55.1,"21,226.00",60.8,32.7,0.5,1,2.6,2.4
GORDON,161,"161,833",54.9,"21,280.80",64.3,29.2,0.6,0.7,2.3,3
MENDEZ,162,"161,717",54.8,"21,335.70",4.5,0.8,0.5,0.2,0.2,93.8
SILVA,163,"161,633",54.8,"21,390.50",32.6,2,2,0.4,1.6,61.3
SHAW,164,"160,400",54.4,"21,444.80",72.1,21.2,1.5,0.8,2.2,2.4
SNYDER,165,"160,262",54.3,"21,499.20",94.1,1.5,0.6,0.5,1.5,1.9
MASON,166,"160,213",54.3,"21,553.50",68.8,25.1,0.5,0.8,2.4,2.4
DIXON,167,"159,480",54.1,"21,607.50",54.3,39.3,0.4,1,2.6,2.5
MUNOZ,168,"158,483",53.7,"21,661.30",4.9,0.3,0.9,0.2,0.2,93.5
HUNT,169,"158,421",53.7,"21,715.00",73.6,16.9,0.6,4.2,2.4,2.3
HICKS,170,"158,320",53.7,"21,768.60",67.4,26.9,0.4,1,2.2,2.1
HOLMES,171,"156,780",53.2,"21,821.80",56.8,37.3,0.4,0.8,2.4,2.4
PALMER,172,"156,601",53.1,"21,874.90",75.1,18.6,0.6,0.8,2.1,2.9
WAGNER,173,"155,795",52.8,"21,927.70",92.5,2.6,0.6,0.5,1.4,2.4
BLACK,174,"154,738",52.5,"21,980.20",74.6,19,0.5,1.4,2.1,2.3
ROBERTSON,175,"153,666",52.1,"22,032.20",73.4,20.6,0.5,0.9,2.1,2.5
BOYD,176,"153,469",52,"22,084.30",63.2,30.8,0.5,1,2.4,2.2
ROSE,177,"153,397",52,"22,136.30",82.1,11.6,0.7,0.6,2,3
STONE,178,"153,329",52,"22,188.30",86,8.1,0.7,1,1.9,2.4
SALAZAR,179,"152,703",51.8,"22,240.00",5.6,0.3,1.7,0.5,0.3,91.7
FOX,180,"152,334",51.6,"22,291.70",88.1,6.1,0.6,1,1.8,2.4
WARREN,181,"152,147",51.6,"22,343.20",70.1,23.9,0.6,0.8,2.3,2.3
MILLS,182,"151,942",51.5,"22,394.80",77.5,16.8,0.5,0.8,2.1,2.3
MEYER,183,"150,895",51.2,"22,445.90",94.8,0.5,0.7,0.3,1.4,2.3
RICE,184,"149,500",50.7,"22,496.60",77.6,16.7,0.6,0.7,2,2.3
SCHMIDT,185,"147,034",49.9,"22,546.40",95.2,0.4,0.6,0.3,1.2,2.3
GARZA,186,"147,005",49.8,"22,596.30",6.7,0.2,0.2,0.3,0.2,92.5
DANIELS,187,"146,570",49.7,"22,646.00",54.7,38.5,0.5,0.9,2.7,2.7
FERGUSON,188,"146,426",49.6,"22,695.60",74.8,19.2,0.6,0.6,2.2,2.5
NICHOLS,189,"145,584",49.4,"22,745.00",82.4,11.9,0.5,0.8,2,2.4
STEPHENS,190,"144,646",49,"22,794.00",73.9,20.3,0.5,0.7,2.1,2.5
SOTO,191,"144,451",49,"22,843.00",5.2,0.5,0.4,0.3,0.2,93.5
WEAVER,192,"143,837",48.8,"22,891.70",84.4,10,0.5,1.1,1.9,2.1
RYAN,193,"143,452",48.6,"22,940.40",91.7,3,0.9,0.4,1.5,2.6
GARDNER,194,"142,894",48.4,"22,988.80",75,19.4,0.6,0.7,2,2.3
PAYNE,195,"142,601",48.3,"23,037.10",71.6,22.6,0.5,0.6,2.4,2.4
GRANT,196,"142,277",48.2,"23,085.40",55.4,37.9,0.5,1.1,2.4,2.8
DUNN,197,"141,427",47.9,"23,133.30",80.1,14.4,0.8,0.6,1.9,2.3
KELLEY,198,"140,693",47.7,"23,181.00",83.8,10.8,0.6,0.7,2,2.2
SPENCER,199,"139,951",47.4,"23,228.50",69.4,23.2,0.8,1.5,2.5,2.7
HAWKINS,200,"139,751",47.4,"23,275.80",61.1,32.8,0.5,0.7,2.5,2.5
ARNOLD,201,"138,893",47.1,"23,322.90",81.3,13.3,0.6,0.6,1.9,2.4
PIERCE,202,"138,629",47,"23,369.90",81,12.9,0.5,1.1,2.1,2.5
VAZQUEZ,203,"138,322",46.9,"23,416.80",3.5,0.4,0.2,0.1,0.1,95.8
HANSEN,204,"137,977",46.8,"23,463.60",94.2,0.5,0.7,0.5,1.5,2.5
PETERS,205,"137,513",46.6,"23,510.20",82.9,10.4,1,1.3,1.9,2.6
SANTOS,206,"137,232",46.5,"23,556.70",20.1,2.3,13.3,0.3,1.9,62.2
HART,207,"137,184",46.5,"23,603.20",80.5,13.6,0.6,0.7,2,2.5
BRADLEY,208,"136,720",46.4,"23,649.60",69.1,25.1,0.4,0.8,2.2,2.3
KNIGHT,209,"136,713",46.4,"23,695.90",72.3,21.6,0.5,0.9,2.2,2.5
ELLIOTT,210,"135,765",46,"23,741.90",81.6,13,0.5,0.7,2,2.2
CUNNINGHAM,211,"135,718",46,"23,788.00",73.2,21.2,0.5,0.5,2.1,2.6
DUNCAN,212,"135,187",45.8,"23,833.80",76.4,17.3,0.5,1,2.2,2.6
ARMSTRONG,213,"135,044",45.8,"23,879.60",72.4,21,0.6,0.9,2.3,2.8
HUDSON,214,"134,963",45.8,"23,925.30",66.9,27.4,0.5,0.8,2.2,2.2
CARROLL,215,"134,317",45.5,"23,970.90",83,11.5,0.6,0.7,1.9,2.4
LANE,216,"134,227",45.5,"24,016.40",77.1,16.9,0.6,0.9,2.1,2.3
RILEY,217,"133,872",45.4,"24,061.70",72.8,21.3,0.5,0.9,2.1,2.5
ANDREWS,218,"133,799",45.4,"24,107.10",71.8,21.6,0.8,1.1,2.2,2.6
ALVARADO,219,"133,501",45.3,"24,152.40",4.3,0.3,0.5,0.2,0.2,94.4
RAY,220,"133,171",45.2,"24,197.50",75,17.5,1.9,0.9,2.1,2.6
DELGADO,221,"132,985",45.1,"24,242.60",5.6,0.7,0.8,0.2,0.3,92.5
BERRY,222,"132,812",45,"24,287.60",70.7,23.1,0.6,0.8,2.3,2.5
PERKINS,223,"131,440",44.6,"24,332.20",69.5,24.6,0.5,0.7,2.3,2.4
HOFFMAN,224,"131,401",44.6,"24,376.70",94.1,1.3,0.6,0.6,1.3,2.1
JOHNSTON,225,"131,373",44.5,"24,421.30",91.6,2.4,0.7,0.8,1.8,2.6
MATTHEWS,226,"131,303",44.5,"24,465.80",63.4,30.7,0.6,0.6,2.4,2.4
PENA,227,"130,776",44.3,"24,510.10",5.3,0.5,1.1,0.3,0.2,92.5
RICHARDS,228,"130,529",44.3,"24,554.40",78.7,14.9,0.7,1,2,2.8
CONTRERAS,229,"130,164",44.1,"24,598.50",4.2,0.2,0.6,0.3,0.2,94.6
WILLIS,230,"130,152",44.1,"24,642.60",62.2,31.1,0.5,1.3,2.6,2.3
CARPENTER,231,"129,898",44,"24,686.60",86.2,8.5,0.6,0.7,1.9,2.2
LAWRENCE,232,"129,699",44,"24,730.60",68.9,24.7,0.7,0.9,2.3,2.5
SANDOVAL,233,"128,948",43.7,"24,774.30",5.3,0.2,0.6,1.8,0.3,91.9
GUERRERO,234,"128,677",43.6,"24,817.90",4.6,0.3,2.2,0.2,0.4,92.3
GEORGE,235,"128,625",43.6,"24,861.50",66.5,18.5,7.6,2.2,2,3.2
CHAPMAN,236,"127,939",43.4,"24,904.90",79.5,14.6,0.6,0.8,2,2.5
RIOS,237,"127,794",43.3,"24,948.20",5,0.4,0.4,0.3,0.2,93.6
ESTRADA,238,"127,470",43.2,"24,991.50",4.6,0.4,1.7,0.2,0.3,92.9
ORTEGA,239,"127,256",43.1,"25,034.60",4.8,0.3,1.2,0.4,0.3,93.1
WATKINS,240,"127,083",43.1,"25,077.70",62,32.3,0.4,0.6,2.6,2.1
GREENE,241,"126,101",42.8,"25,120.40",67.7,26.5,0.5,0.7,2.3,2.2
NUNEZ,242,"125,350",42.5,"25,162.90",5.3,0.7,0.8,0.3,0.2,92.7
WHEELER,243,"125,058",42.4,"25,205.30",81,13.3,0.5,0.9,2,2.4
VALDEZ,244,"124,995",42.4,"25,247.70",6.3,0.5,3.4,0.7,0.6,88.7
HARPER,245,"124,461",42.2,"25,289.90",67.9,26.2,0.5,0.7,2.4,2.3
BURKE,246,"122,877",41.7,"25,331.50",85.9,8.8,0.7,0.5,1.7,2.4
LARSON,247,"122,587",41.6,"25,373.10",94.8,0.5,0.7,0.6,1.4,2
SANTIAGO,248,"122,212",41.4,"25,414.50",5.4,1.3,4.5,0.1,0.6,88.1
MALDONADO,249,"121,526",41.2,"25,455.70",5,0.5,0.4,0.2,0.2,93.7
MORRISON,250,"121,130",41.1,"25,496.80",79.1,14.8,0.6,1,2,2.5
FRANKLIN,251,"120,621",40.9,"25,537.70",54.4,38.8,0.5,0.8,2.8,2.7
CARLSON,252,"120,552",40.9,"25,578.60",94.8,0.5,0.8,0.5,1.4,2.1
AUSTIN,253,"119,706",40.6,"25,619.10",67.5,26,0.6,0.8,2.3,2.8
DOMINGUEZ,254,"119,304",40.4,"25,659.60",5,0.4,1,0.3,0.2,93.1
CARR,255,"119,076",40.4,"25,699.90",73.6,20.8,0.5,0.6,2.1,2.4
LAWSON,256,"119,053",40.4,"25,740.30",73.8,20.7,0.4,0.7,2.2,2.2
JACOBS,257,"118,614",40.2,"25,780.50",74.3,16.7,0.6,3.8,2.2,2.5
OBRIEN,258,"118,557",40.2,"25,820.70",93.9,1.3,0.8,0.4,1.4,2.3
LYNCH,259,"117,708",39.9,"25,860.60",82.3,11.7,0.6,1.1,1.8,2.5
SINGH,260,"116,749",39.6,"25,900.20",4.3,4.5,82.8,1.2,4.8,2.5
VEGA,261,"116,673",39.6,"25,939.70",5.5,0.6,0.7,0.2,0.3,92.7
BISHOP,262,"116,618",39.5,"25,979.30",84.4,10.1,0.6,0.6,1.9,2.4
MONTGOMERY,263,"115,953",39.3,"26,018.60",67.9,26.2,0.6,0.6,2.4,2.4
OLIVER,264,"115,900",39.3,"26,057.90",64.2,27.5,0.7,0.7,2.4,4.5
JENSEN,265,"115,679",39.2,"26,097.10",94,0.4,0.7,0.8,1.4,2.6
HARVEY,266,"115,662",39.2,"26,136.30",68,25,0.5,1.7,2.3,2.5
WILLIAMSON,267,"114,959",39,"26,175.30",77.2,17.4,0.5,0.7,1.9,2.3
GILBERT,268,"114,940",39,"26,214.20",77.8,15.9,0.6,0.7,2,3
DEAN,269,"114,030",38.7,"26,252.90",76.6,16.8,1.1,0.7,2.2,2.6
SIMS,270,"113,374",38.4,"26,291.30",54.3,39.9,0.4,0.6,2.6,2.2
ESPINOZA,271,"112,154",38,"26,329.40",4,0.2,0.4,0.3,0.2,94.9
HOWELL,272,"112,041",38,"26,367.30",79.5,15.1,0.5,0.7,1.8,2.5
LI,273,"111,786",37.9,"26,405.20",1.5,0.2,96.8,0,0.9,0.6
WONG,274,"111,371",37.8,"26,443.00",3.5,0.8,86.5,0,5.2,4
REID,275,"111,360",37.8,"26,480.70",59.8,34.1,0.6,0.6,2.3,2.6
HANSON,276,"111,144",37.7,"26,518.40",92.1,2.9,0.7,0.7,1.6,2.1
LE,277,"110,967",37.6,"26,556.00",1.5,0.2,95.6,0,1.9,0.8
MCCOY,278,"110,744",37.5,"26,593.60",66.9,26.7,0.5,0.9,2.4,2.6
GARRETT,279,"110,697",37.5,"26,631.10",70,24.5,0.4,0.6,2.3,2.2
BURTON,280,"110,529",37.5,"26,668.60",67.3,27.1,0.5,0.5,2.3,2.3
FULLER,281,"110,116",37.3,"26,705.90",73.2,21.1,0.6,0.6,2.2,2.3
WANG,282,"109,883",37.3,"26,743.20",2.6,0.3,95.2,0,1.5,0.4
WEBER,283,"109,433",37.1,"26,780.30",94.3,1.3,0.6,0.4,1.3,2.2
WELCH,284,"108,987",37,"26,817.20",83.5,10.4,0.5,1.1,1.9,2.6
ROJAS,285,"108,421",36.8,"26,854.00",4.1,0.4,0.8,0.1,0.2,94.5
LUCAS,286,"107,690",36.5,"26,890.50",69.1,18.5,1.6,0.5,2.2,8.1
MARQUEZ,287,"107,533",36.5,"26,926.90",5.1,0.5,2.8,0.4,0.5,90.7
FIELDS,288,"107,522",36.5,"26,963.40",57.7,35.8,0.4,1.2,2.7,2.3
PARK,289,"106,696",36.2,"26,999.50",23.3,0.8,73,0.2,1.7,1
YANG,290,"106,033",36,"27,035.50",1,0.2,96.8,0,1.5,0.5
LITTLE,291,"105,936",35.9,"27,071.40",70.1,24.3,0.4,1.3,1.9,2
BANKS,292,"105,833",35.9,"27,107.30",39.3,54.5,0.4,0.4,3,2.5
PADILLA,293,"105,365",35.7,"27,143.00",6.2,0.4,2.1,0.8,0.4,90.2
DAY,294,"105,091",35.6,"27,178.60",83.1,10.4,1,1.1,2,2.4
