"","numberPerDocket","numberOfCommentsReceived","organization","submitterName","title","commentText","docketTitle"
"12",4340347,165,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attachment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"13",4340347,314,NA,NA,"Mass Comment Campaign sponsored by PennFuture (email)","See attachment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"14",4340347,208,NA,NA,"Mass Comment Campaign sponsored by Sierra Club (postcard)","See attached file","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"15",4340347,41383,NA,NA,"Mass Comment Campaign sponsored by League of Women Voters (LWV) (email)","See attachment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"16",4340347,24840,NA,NA,"Mass Comment Campaign sponsored by National Audubon Society (email)","See attachment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"17",4340347,102119,NA,NA,"Mass Comment Campaign sponsored by Natural Resources Defense Council (NRDC) (email)","See attachment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"18",4340347,149,NA,NA,"Mass Comment Campaign sponsored by All Saints Church, Pasadena, CA (paper)","See attached file","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"19",4340347,150,NA,NA,"Mass Comment Campaign sponsored by All Saints Church, Pasadena, CA (paper)","See attached file","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"20",4340347,1123,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"21",4340347,4242,NA,NA,"Mass Comment Campaign sponsored by American Lung Association (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"22",4340347,89073,NA,NA,"Mass Comment Campaign sponsored by Sierra Club (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"23",4340347,120322,NA,NA,"Mass Comment Campaign sponsored by Earthjustice (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"24",4340347,28122,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"25",4340347,12006,NA,NA,"Mass Comment Campaign sponsored by Greenpeace (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"26",4340347,22413,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"27",4340347,30058,NA,NA,"Mass comment campaign sponsored by United Mine Workers of America (paper)","See attachment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"28",4340347,132,NA,NA,"Mass comment campaign sponsored by Physicians for Social Responsibility (PSR) San Francisco Bay Area et al. (postcard)","See attachment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"29",4340347,206,NA,NA,"Mass comment campaign sponsoring organization unknown (paper)","See attachment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"30",4340347,3265,NA,NA,"Mass comment campaign sponsored by United Mine Workers of America (paper)","See attachment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"31",4340347,9846,NA,NA,"Mass comment campaign sponsoring organization unknown (paper)","See attachment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"32",4340347,494,NA,NA,"Mass comment campaign sponsoring organization unknown (paper)","See attachment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"33",4340347,4829,NA,NA,"Mass Comment Campaign sponsored by North Carolina League of Conservation Voters (NCLCV) (paper)","See attached file","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"34",4340347,5822,NA,NA,"Mass Comment Campaign sponsored by League of Conservation Voters (LCV) (postcard)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"35",4340347,23728,NA,NA,"Mass Comment Campaign sponsored by Michigan League of Conservation Voters (MLCV) (postcard)","See Attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"36",4340347,334,NA,NA,"Mass Comment Campaign sponsored by League of Conservation Voters (LCV) (paper)","See attached file","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"37",4340347,3876,NA,NA,"Mass Comment Campaign sponsored by Conservation Colorado (CC) (postcard)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"38",4340347,412,NA,NA,"Mass Comment Campaign sponsored by International Union of Operating Engineers (IUOE) Local Union No. 66 (paper)","See attached file","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"39",4340347,16682,NA,NA,"Mass Comment Campaign sponsored by America's Power (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"40",4340347,9868,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"41",4340347,23735,NA,NA,"Mass Comment Campaign sponsored by California League of Conservation Voters (LCV) (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"42",4340347,4642,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"43",4340347,44438,NA,NA,"Mass Comment Campaign sponsored by National Wildlife Federation Action Fund (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"44",4340347,492370,NA,NA,"Mass Comment Campaign sponsored by America's Electric Cooperatives (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"45",4340347,5000,NA,NA,"Mass Comment Campaign sponsoring organization unknown (Part 2 of 3) (web)","See attached file(s)","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"46",4340347,30432,NA,NA,"Mass Comment Campaign sponsored by Sierra Club (paper)","Sierra Club-30K Signatures","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"47",4340347,74276,NA,NA,"Mass Comment Campaign sponsored by Public Citizen (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"48",4340347,938,NA,NA,"Mass Comment Campaign sponsored by Frack Free Illinois (paper)","Dr Lora Chamberlain, Organizer for Frack Free Illinois, July 31, 2014","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"49",4340347,302,NA,NA,"Mass Comment Campaign sponsored by Missourians for a Balanced Energy Future (MBEF) (Part 2 of 2) (web)","Though I support clean air for Missouri, I cannot support the EPAs proposed Clean Power Plan because it unnecessarily forces Missouri utility customers to pay more for electricity, threatens jobs and creates numerous system reliability risks. It is very important that Missouri address its environmental needs without shifting the financial burden to consumers.
 
A more reasonable approach for Missouri is Ameren Missouri's Transition Plan, which will ultimately meet the EPAs CO2 reduction targets while saving money and protecting jobs. The proposed modifications are Missouris best hope for transitioning to clean, affordable energy systems.
 
I urge you to adopt the Ameren Missouri plan, a sensible approach to protecting jobs and our environment.  

302 people have signed this message (see attached list for names).
","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"50",4340347,49719,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"51",4340347,822,NA,NA,"Mass Comment Campaign sponsored by Sierra Club (paper)","Letters to President Barack Obama from Sierra Club members and supporters","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"52",4340347,21652,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"53",4340347,12552,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"54",4340347,70449,NA,NA,"Mass Comment Campaign sponsored by Environmental Defense Action Fund (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"55",4340347,787,NA,NA,"Mass Comment Campaign sponsored by Organizing for Action (paper)","Washington, D.C. Public Hearing, Organizing for Action Petition Signatures:  Support Clean Power Plan Proposal, July 30, 2014","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"56",4340347,1500,NA,NA,"Mass Comment Campaign sponsoring organization unknown (Part 3 of 3) (web)","See attached file(s)","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"57",4340347,20242,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"58",4340347,162,NA,NA,"Mass Comment Campaign sponsored by Respiratory Health Association (paper)","Letters to Administrator McCarthy from members of the Respiratory Health Association","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"59",4340347,517,NA,NA,"Mass Comment Campaign sponsored by Frack Free Illinois (paper)","Improve the Clean Power Plan Petition","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"60",4340347,6114,NA,NA,"Mass Comment Campaign submitted by employees of American Electric Power (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"61",4340347,9636,NA,NA,"Mass Comment Campaign sponsored by Natural Resources Defense Council (NRDC)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"62",4340347,13342,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"63",4340347,1485,NA,NA,"Mass Comment Campaign sponsoring organization unknown (Part 1 of 3) (web)","See attached file(s)","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"64",4340347,1215,NA,NA,"Mass Comment Campaign sponsored by Appalachian Voices (paper)","See attached files","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"65",4340347,186,NA,NA,"Mass Comment Campaign sponsored by Moms Clean Air Force (paper)","See attached file","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"66",4340347,214,NA,NA,"Mass Comment Campaign sponsored by Kentucky Interfaith Power and Light (IPL) (paper)","Tim Darst, Executive Director of Kentucky Interfaith Power and Light, July 29, 2014","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"67",4340347,513,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"68",4340347,541,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"69",4340347,12161,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"70",4340347,871,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"71",4340347,2300,NA,NA,"Mass Comment Campaign sponsored by Missourians for a Balanced Energy Future  (MBEF) (web)","Though I support clean air for Missouri, I cannot support the EPAs proposed Clean Power Plan because it unnecessarily forces Missouri utility customers to pay more for electricity, threatens jobs and creates numerous system reliability risks. It is very important that Missouri address its environmental needs without shifting the financial burden to consumers.
 
A more reasonable approach for Missouri is Ameren Missouri's Transition Plan, which will ultimately meet the EPAs CO2 reduction targets while saving money and protecting jobs. The proposed modifications are Missouris best hope for transitioning to clean, affordable energy systems.
 
I urge you to adopt the Ameren Missouri plan, a sensible approach to protecting jobs and our environment.  

2,300 people have signed this message (see attached list for names).
","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"72",4340347,1128,NA,NA,"Mass Comment Campaign sponsored by Missourians for a Balanced Energy Future (MBEF) (web)","Though I support clean air for Missouri, I cannot support the EPAs proposed Clean Power Plan because it unnecessarily forces Missouri utility customers to pay more for electricity, threatens jobs and creates numerous system reliability risks. It is very important that Missouri address its environmental needs without shifting the financial burden to consumers.
 
A more reasonable approach for Missouri is Ameren Missouri's Transition Plan, which will ultimately meet the EPAs CO2 reduction targets while saving money and protecting jobs. The proposed modifications are Missouris best hope for transitioning to clean, affordable energy systems.
 
I urge you to adopt the Ameren Missouri plan, a sensible approach to protecting jobs and our environment.  

1,128 people have signed this message (see attached list for names).
","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"73",4340347,456,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"74",4340347,723,NA,NA,"Mass Comment Campaign sponsored by Missourians for a Balanced Energy Future (MBEF) (web)","Though I support clean air for Missouri, I cannot support the EPAs proposed Clean Power Plan because it unnecessarily forces Missouri utility customers to pay more for electricity, threatens jobs and creates numerous system reliability risks. It is very important that Missouri address its environmental needs without shifting the financial burden to consumers.
 
A more reasonable approach for Missouri is Ameren Missouri's Transition Plan, which will ultimately meet the EPAs CO2 reduction targets while saving money and protecting jobs. The proposed modifications are Missouris best hope for transitioning to clean, affordable energy systems.
 
I urge you to adopt the Ameren Missouri plan, a sensible approach to protecting jobs and our environment.  

723 people have signed this message (see attached list for names).
","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"75",4340347,127,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"76",4340347,324,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"77",4340347,6987,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"78",4340347,2523,NA,NA,"Mass Comment Campaign sponsoring organization unknown (web)","See attached file(s)","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"79",4340347,120,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"80",4340347,13613,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"81",4340347,1007,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"82",4340347,169,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"83",4340347,1500,NA,NA,"Mass Comment Campaign sponsoring organization unknown (web)","See attached file(s)","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"84",4340347,2852,NA,NA,"Mass comment campaign sponsoring organization unknown (email)","comment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"85",4340347,222,NA,NA,"Mass Comment Campaign sponsoring organization unknown (paper)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"86",4340347,221,NA,NA,"Mass comment campaign sponsoring organization unknown (email)","comment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"87",4340347,2805,NA,NA,"Mass comment campaign sponsored by Environment America (email)","comment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"88",4340347,13384,NA,NA,"Mass comment campaign sponsoring organization unknown (email)","comment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"89",4340347,26317,NA,NA,"Mass comment campaign sponsored by Natural Resources Defense Council (NRDC) (email)","comment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"90",4340347,115,NA,NA,"Mass comment campaign sponsoring organization unknown (email)","comment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"91",4340347,1636,NA,NA,"Mass comment campaign sponsored by Union of Concerned Scientists (UCS) (email)","comment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"92",4340347,2179,NA,NA,"Mass Comment Campaign sponsored by WE ACT for Environmental Justice (web)","On behalf of students, researchers, environmental advocates, and regular citizens concerned about health, we submit the following letter with the support of over 2100 signers to make equity and environmental justice a key part of the Clean Power Plan. Thank you for this opportunity.","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"93",4340347,423,NA,NA,"Mass Comment Campaign Missourians for a Balanced Energy Future (MBEF) (web)","Though I support clean air for Missouri, I cannot support the EPAs proposed Clean Power Plan because it unnecessarily forces Missouri utility customers to pay more for electricity, threatens jobs and creates numerous system reliability risks. It is very important that Missouri address its environmental needs without shifting the financial burden to consumers.
 
A more reasonable approach for Missouri is Ameren Missouri's Transition Plan, which will ultimately meet the EPAs CO2 reduction targets while saving money and protecting jobs. The proposed modifications are Missouris best hope for transitioning to clean, affordable energy systems.
 
I urge you to adopt the Ameren Missouri plan, a sensible approach to protecting jobs and our environment.  

423 people have signed this message (see attached list for names).
","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"94",4340347,1619,NA,NA,"Mass Comment Campaign sponsored by Missourians for a Balanced Energy Future (MBEF) (web)","Though I support clean air for Missouri, I cannot support the EPAs proposed Clean Power Plan because it unnecessarily forces Missouri utility customers to pay more for electricity, threatens jobs and creates numerous system reliability risks. It is very important that Missouri address its environmental needs without shifting the financial burden to consumers.
 
A more reasonable approach for Missouri is Ameren Missouri's Transition Plan, which will ultimately meet the EPAs CO2 reduction targets while saving money and protecting jobs. The proposed modifications are Missouris best hope for transitioning to clean, affordable energy systems.
 
I urge you to adopt the Ameren Missouri plan, a sensible approach to protecting jobs and our environment.  

1,619 people have signed this message (see attached list for names).
","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"95",4340347,70450,NA,NA,"Mass Comment Campaign sponsored by Food & Water Watch, Care2 and MoveOn.org (web)","See attached file(s) with over 70,000 signatories on comments re the proposed carbon pollution emission guidelines for existing stationary sources.","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"96",4340347,1400,NA,NA,"Mass Comment Campaign sponsored by Missourians for a Balanced Energy Future (MBEF) (web)","Though I support clean air for Missouri, I cannot support the EPAs proposed Clean Power Plan because it unnecessarily forces Missouri utility customers to pay more for electricity, threatens jobs and creates numerous system reliability risks. It is very important that Missouri address its environmental needs without shifting the financial burden to consumers.
 
A more reasonable approach for Missouri is Ameren Missouri's Transition Plan, which will ultimately meet the EPAs CO2 reduction targets while saving money and protecting jobs. The proposed modifications are Missouris best hope for transitioning to clean, affordable energy systems.
 
I urge you to adopt the Ameren Missouri plan, a sensible approach to protecting jobs and our environment.  

1,400 people have signed this message (see attached list for names).
","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"97",4340347,603,NA,NA,"Mass Comment Campaign Missourians for a Balanced Energy Future (MBEF) (web)","Though I support clean air for Missouri, I cannot support the EPAs proposed Clean Power Plan because it unnecessarily forces Missouri utility customers to pay more for electricity, threatens jobs and creates numerous system reliability risks. It is very important that Missouri address its environmental needs without shifting the financial burden to consumers.
 
A more reasonable approach for Missouri is Ameren Missouri's Transition Plan, which will ultimately meet the EPAs CO2 reduction targets while saving money and protecting jobs. The proposed modifications are Missouris best hope for transitioning to clean, affordable energy systems.
 
I urge you to adopt the Ameren Missouri plan, a sensible approach to protecting jobs and our environment.  

603 people have signed this message (see attached list for names).

","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"98",4340347,647,NA,NA,"Mass Comment Campaign submitted by Clean Water Action Michigan (web)","See attached file(s)

647 Individual Comments","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"99",4340347,866,NA,NA,"Mass Comment Campaign submitted by Clean Water Action Michigan (web)","See attached file(s)

866 Individual Comments","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"100",4340347,36133,NA,NA,"Mass Comment Campaign submitted by Santee Cooper customers (web)","Santee Cooper submits the attached comments on behalf of 36,133 of its customers.  These comments were sent to Santee Cooper by our customers for inclusion in the above-referenced docket.  The comments state:

Dear EPA: 

In your final CO2 emissions control plan, South Carolina needs equitable treatment for its nuclear units under construction. Our utilities proactively committed to building more clean nuclear power years ago and are now constructing two new nuclear units in our state. As a South Carolinian, I am already paying for the construction of these units. Your goal is a national average 30 percent emissions reduction in CO2 emissions, and so South Carolinians should not have to pay for a 51 percent reduction in our state. Give us credit for early action on nuclear and bring our cost share closer to the national average.

Sincerely,

[Name and Address of Commenter]

We request that these comments be filed and considered individually in the above-referenced docket.  
","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"101",4340347,764,NA,NA,"Mass Comment Campaign Missourians for a Balanced Energy Future (MBEF) (web)","Though I support clean air for Missouri, I cannot support the EPAs proposed Clean Power Plan because it unnecessarily forces Missouri utility customers to pay more for electricity, threatens jobs and creates numerous system reliability risks. It is very important that Missouri address its environmental needs without shifting the financial burden to consumers.
 
A more reasonable approach for Missouri is Ameren Missouri's Transition Plan, which will ultimately meet the EPAs CO2 reduction targets while saving money and protecting jobs. The proposed modifications are Missouris best hope for transitioning to clean, affordable energy systems.
 
I urge you to adopt the Ameren Missouri plan, a sensible approach to protecting jobs and our environment.  

764 people have signed this message (see attached list for names).
","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"102",4340347,702,NA,NA,"Mass Comment Campaign sponsored by National Taxpayers Union (NTU) (web)","Please see attached.","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"103",4340347,147,NA,NA,"Mass Comment Campaign sponsored by North Carolina Interfaith Power & Light (NCIPL) (email)","see attachment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"104",4340347,16341,NA,NA,"Mass Comment Campaign sponsored by Environment America (web)","Heat waves, extreme weather, and dangerous sea level rise are bad enough today, but unchecked global warming would make all these things much worse for the world our children will inherit. Thats why its so important that we reduce the pollution thats fueling global warming.

Power plants are the largest single source of carbon pollution in the U.S. By shifting to renewable energy, expanding energy efficiency, and reducing our use of the dirtiest fuels, we can ensure a safer climate for our children.

I support strong limits on carbon pollution from power plants and a transition to a cleaner, greener future.","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"105",4340347,224,NA,NA,"Mass Comment Campaign sponsored by Business for Innovative Climate & Energy Policy (BICEP) et al. (email)","see attachment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"106",4340347,28460,NA,NA,"Mass comment campaign sponsored by Environment America (Web)","I urge you to move forward with limits on carbon pollution from existing coal-fired power plants. This pollution is the largest source of global warming pollution in America, and if we don't take action now, it will mean more heat waves, extreme weather, and dangerous sea level rise for future generations.

-Signatories attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"107",4340347,254008,NA,NA,"Mass Comment Campaign sponsored by Natural Resources Defense Council (NRDC) (web)","Attached are five .xlsx files containing the names of 254,009 commenters who signed an identical online petition sponsored by the Natural Resources Defense Council in support of the clean power plan proposed rule (docket number: EPA-HQ-OAR-2013-0602)

The petition language read as follows:

Thank you for proposing this standard to limit carbon pollution from existing power plants. Without these standards in place, polluters will continue to dump an unlimited amount of carbon pollution into our air.

This is a critical part of President Obamas plan to cut carbon pollution coming from power plants each year. With these limits we can avoid some of the worst consequences of climate change.

Carbon pollution fuels climate change, drives extreme weather, threatens communities and cuts too many lives short. I urge you to adopt this critical new standard (Docket EPA-HQ-OAR-2013-0602).

The attached files are:

* NRDC-LCX-EPA-HQ-OAR-2013-0602.xlsx (108,984 records)
* NRDC-DailyKos-EPA-HQ-OAR-2013-0602.xlsx (53,867 records)
* NRDC-Care2-EPA-HQ-OAR-2013-0602.xlsx (10,476 records.  Some people added additional comments when signing our petition.  These additional comments are included in column H)
* NRDC-PermissionData-EPA-HQ-OAR-2013-0602.xlsx (30,063 records)
*  NRDC-Pandora-EPA-HQ-OAR-2013-0602.xlsx (50,619 recordsmost of these records do not include names, but do include zip codes, so please consider them anonymous)

Please contact me if you have any questions about this bulk comment submission.

Liz Langton
Director of Engagement
Natural Resources Defense Council
1152 15th Street NW, Suite 300, Washington, DC 20005
Office: 202-289-2437, Cell: 202-763-1389
llangton@nrdc.org","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
