id,Related,Related-order,Updated,Status,Noteworthy,Type,Type-text,Category,Agency,Agency-info,Rule-header,Rule,Proposed-date,Proposed-link,Proposed-status,Proposed-admin,Proposed-progress,Final-date,Final-link,Final-status,Final-admin,Final-progress,Effective-date,Effective-link,Effective-status,Effective-admin,Effective-progress,Summary,Review
42,,,8/6/2018,In Effect,,,,Financial,IRS,Internal Revenue Service,,Disclosure Exemptions to Certain Nonprofits,,,,,,7/16/2018,https://www.irs.gov/pub/irs-drop/rp-18-38.pdf,,trump,progress,12/31/2018,https://www.irs.gov/pub/irs-drop/rp-18-38.pdf,,trump,progress,A rule that exempts certain nonprofits from disclosing donor data in their tax filings.,"Certain tax-exempt organizations--those described in section 501(c), excluding those described in 501(c)(3) and section 527 organizations--will no longer be required to file personally identifiable details of their contributors in their annual tax returns. Previously, they were required to provide the names and addresses of their donors on the <a href=""https://www.irs.gov/pub/irs-pdf/f990ezb.pdf""> Schedule B form </a>, the ""Schedule of Contributors."" However, these organizations must continue to retain this information in their records and make it available upon request, if required. 
<br><br>
This rule does not change the annual returns information that is available to the public, since private taxpayer information has historically not been disclosed to the public. Nor does the rule change anything in respect to the reporting of contribution information or the administration of the tax code. The rule is expected to reduce the compliance costs concerned with reporting, on both private and government ends, and reduce the risks associated with sensitive donor information. However, while it may protect free speech and privacy, it also runs the risk of fostering political activity in the non-profit space. 
<br><br>
A <a href=""https://www.congress.gov/bill/114th-congress/house-bill/5053"">bill</a> to eliminate Schedule B requirements was passed by the U.S. House of Representatives in 2016; however, it never made it through the Senate Finance Committee. This rule will take effect after December 31, 2018, and will apply to returns due on or after May 15, 2019."
43,,,10/19/2017,Repealed,,CRA,Nullified by Congressional Review Act,Environmental,SEC,Securities and Exchange Commission,,Disclosure of Payments by Resource Extraction Issuers,12/23/2015,https://www.federalregister.gov/documents/2015/12/23/2015-31702/disclosure-of-payments-by-resource-extraction-issuers,,obama,,7/27/2016,https://www.federalregister.gov/documents/2016/07/27/2016-15676/disclosure-of-payments-by-resource-extraction-issuers,,obama,,9/26/2016,https://www.congress.gov/115/plaws/publ4/PLAW-115publ4.pdf,Nullified,trump,,"Nullification of a rule requiring resource extraction issuers to disclose information about payments made to the U.S. government or foreign governments for the purposes of commercial development of oil, natural gas, or minerals.","This <a href=""https://www.federalregister.gov/documents/2016/07/27/2016-15676/disclosure-of-payments-by-resource-extraction-issuers"">rule</a> mandated that resource extraction issuers disclose payments made to governments for the purposes of developing commercial oil, natural gas, or minerals. Advocates of the rule claimed that it prevented companies from bribing foreign governments and engaging in other forms of corruption. Detractors argued that the rule placed an excessive burden on U.S. companies. 
<br><br>
On January 30, 2017, <a href=""https://www.congress.gov/member/bill-huizenga/H001058"">Rep. Bill Huizenga (R-MI)</a> introduced a joint resolution of disapproval to nullify the rule under the <a href=""https://www.brookings.edu/research/how-powerful-is-the-congressional-review-act/"">Congressional Review Act</a>. The resolution <a href=""http://clerk.house.gov/evs/2017/roll072.xml"">passed the House</a> on February 1, and <a href=""https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=115&session=1&vote=00051"">passed the Senate</a> on February 3. On February 14, 2017, the resolution was signed by President Trump and <a href=""https://www.congress.gov/115/plaws/publ4/PLAW-115publ4.pdf"">became law</a>, nullifying the rule. This was the first successful use of the Congressional Review Act during the Trump administration to overrule a federal regulation."
44,,,10/19/2017,Repealed,,CRA,Nullified by Congressional Review Act,Labor,DoL,Department of Labor,,Drug Tests for Unemployment Compensation,10/9/2014,https://www.federalregister.gov/documents/2014/10/09/2014-24098/federal-state-unemployment-compensation-program-middle-class-tax-relief-and-job-creation-act-of-2012,,obama,,8/1/2016,https://www.federalregister.gov/documents/2016/08/01/2016-17738/federal-state-unemployment-compensation-program-middle-class-tax-relief-and-job-creation-act-of-2012,,obama,,9/30/2016,https://www.congress.gov/115/plaws/publ17/PLAW-115publ17.pdf,Nullified,trump,,Nullification of a rule permitting states to conduct drug tests for unemployment compensation eligibility.,"The <a href=""https://www.congress.gov/112/plaws/publ96/PLAW-112publ96.pdf"">Middle Class Tax Relief and Job Creation Act of 2012</a> amended the <a href=""https://www.ssa.gov/OP_Home/ssact/ssact-toc.htm"">Social Security Act</a> by permitting states to conduct drug tests for unemployment compensation eligibility if the applicant was fired for drug use or if the applicant's occupation regularly conducted drug testing. The drug tests for unemployment compensation <a href=""https://www.federalregister.gov/documents/2016/08/01/2016-17738/federal-state-unemployment-compensation-program-middle-class-tax-relief-and-job-creation-act-of-2012"">rule</a> established which occupations fell under this umbrella. 
<br><br>
On January 30, 2017, <a href=""https://www.congress.gov/member/kevin-brady/B000755"">Rep. Kevin Brady (R-TX)</a> introduced a joint resolution of disapproval to nullify the rule under the <a href=""https://www.brookings.edu/research/how-powerful-is-the-congressional-review-act/"">Congressional Review Act</a>. The resolution <a href=""http://clerk.house.gov/evs/2017/roll097.xml"">passed the House</a> on February 15, and <a href=""https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=115&session=1&vote=00087"">passed the Senate</a> on March 14. On March 31, 2017, the resolution was signed by President Trump and <a href=""https://www.congress.gov/115/plaws/publ17/PLAW-115publ17.pdf"">became law</a>, nullifying the rule."
45,,,11/9/2017,In Effect,,,,Transportation,DoT,Department of Transportation,,Electrical Shock Protection Rule,3/10/2016,https://www.federalregister.gov/documents/2016/03/10/2016-05187/federal-motor-vehicle-safety-standards-electric-powered-vehicles-electrolyte-spillage-and-electrical,,obama,progress,9/27/2017,https://www.federalregister.gov/documents/2017/09/27/2017-20350/federal-motor-vehicle-safety-standards-electric-powered-vehicles-electrolyte-spillage-and-electrical,,trump,progress,9/27/2017,,,trump,progress,A rule giving electric car manufacturers more flexibility to design technologies to protect against electric shock after a crash.,"The <a href=""https://www.nhtsa.gov/laws-regulations/fmvss"">Federal Motor Vehicle Safety Standards</a> include electrical safety requirements to protect against contact with high-voltage sources during everyday operation and crashes involving motor vehicles. Manufacturers are required to meet one of two compliance options: the ""electrical isolation"" option or the ""low-voltage"" option. The electrical isolation option requires high-voltage sources in a vehicle to be electrically isolated from the vehicle's chassis, and the low-voltage option requires high-voltage sources to be at levels considered safe from harmful shock. The rule finalized September 27, 2017 adds a third option for vehicle manufacturers: the ""physical barrier compliance"" option, which allows for ""electrical protection barriers"" that enclose a high-voltage sources to prevent direct contact. The administration claims that the rule will give more flexibility to manufacturers of electric vehicles and will allow new technologies to be introduced to the U.S. market."
46,,,2/13/2018,In Rulemaking,,,,Other,USPTO,U.S. Patent and Trademark Office,,Eliminating Unnecessary Regulations at the U.S. Patent and Trademark Office,1/19/2018,https://www.federalregister.gov/documents/2018/01/19/2018-00769/changes-to-eliminate-unnecessary-regulations,,trump,progress,,,,,,,,,,,A rule removing various regulations deemed unnecessary by the U.S. Patent and Trademark Office.,"This <a href=""https://www.federalregister.gov/documents/2018/01/19/2018-00769/changes-to-eliminate-unnecessary-regulations"">proposed rule</a> removes various regulations deemed unnecessary or superfluous by the U.S. Patent and Trademark Office. The proposed revisions are in response to President Trump's <a href=""https://www.federalregister.gov/documents/2017/03/01/2017-04107/enforcing-the-regulatory-reform-agenda"">Executive Order 13777</a>."
47,,,4/9/2018,In Rulemaking,,,,Financial,Treasury,Department of the Treasury,,Eliminating Unnecessary Regulations at the Treasury Department,4/9/2018,https://www.federalregister.gov/documents/2018/04/09/2018-07102/eliminating-unnecessary-regulations,,trump,progress,,,,,,,,,,,A rule removing regulations related to Treasury programs that are no longer in existence. ,"This <a href=""https://www.federalregister.gov/documents/2018/04/09/2018-07102/eliminating-unnecessary-regulations"">proposed rule</a> removes regulations or portions of regulations related to Treasury programs that are no longer in existence. The proposed revisions are in response to President Trump's <a href=""https://www.federalregister.gov/documents/2017/03/01/2017-04107/enforcing-the-regulatory-reform-agenda"">Executive Order 13777</a>."
48,,,12/20/2017,In Effect,,,,Financial,NCUA,National Credit Union Administration,,Emergency Mergers-Chartering and Field of Membership Rule,7/31/2017,https://www.federalregister.gov/documents/2017/07/31/2017-15685/emergency-mergers-chartering-and-field-of-membership,,trump,progress,12/20/2017,https://www.federalregister.gov/documents/2017/12/20/2017-27410/emergency-mergers-chartering-and-field-of-membership,,trump,progress,1/19/2018,,,trump,progress,"A rule expanding the definition of ""in danger of insolvency"" for credit unions for emergency merger purposes.","Under the <a href=""https://www.ncua.gov/Legal/Documents/fcu_act.pdf"">Federal Credit Union Act</a>, credit unions in danger of insolvency can merge with another credit union, without regard to common bond or other legal constraints, such as obtaining the approval of the members of the merging credit union. In 2010, the National Credit Union Administration (NCUA) issued a <a href=""https://www.federalregister.gov/documents/2010/06/25/2010-15130/chartering-and-field-of-membership-for-federal-credit-unions"">rule</a> defining the term ""in danger of insolvency"" for credit unions for emergency merger purposes. Specifically, the 2010 rule established 3 net worth categories to determine whether a credit union was ""in danger of insolvency"": (i) if it will be insolvent within 24 months, (ii) if it will be ""critically undercapitalized"" within 12 months, or (iii) if it is significantly undercapitalized and will not be adequately capitalized within 36 months. 
<br><br>
This <a href=""https://www.federalregister.gov/documents/2017/12/20/2017-27410/emergency-mergers-chartering-and-field-of-membership"">new rule</a> lengthens the forecast horizon for categories (i) and (ii) to 30 months and 18 months, respectively, and also adds a fourth net worth category to the definition of ""in danger of insolvency"": (iv) if a credit union has been granted or received assistance under section 208 of the Federal Credit Union Act in the 15 months before the NCUA regional office determines it to be in danger of insolvency. This rule was included among the NCUA's August 2017 <a href=""https://www.federalregister.gov/documents/2017/08/22/2017-17673/regulatory-reform-agenda"">Regulatory Reform Agenda</a>."
49,,,7/12/2018,Repealed,,Guidance,Guidance rescinded by the attorney general and secretary of education,Education,"DoJ, DoEd","Department of Justice, Department of Education",,Encouraging Affirmative Action,,,,,,7/3/2018,https://www.justice.gov/opa/pr/attorney-general-jeff-sessions-rescinds-24-guidance-documents,,trump,,,,,,,Withdrawal of guidance encouraging affirmative action.,"On July 3, 2018, the Department of Justice (<a href=""https://www.justice.gov/opa/pr/attorney-general-jeff-sessions-rescinds-24-guidance-documents"">DoJ</a>) and the Department of Education (<a href=""http://blogs.edweek.org/edweek/campaign-k-12/Embargoed%20Until%204%20p.m.DCL%207.3.18.pdf"">DoEd</a>) jointly announced that they would be rescinding 24 guidance documents that were determined to be ""unnecessary or improper rulemaking,"" in accordance with a November 2017 <a href=""https://www.justice.gov/opa/pr/attorney-general-jeff-sessions-ends-department-s-practice-regulation-guidance?utm_medium=email&utm_source=govdelivery"">memo</a> declaring the DoJ's end to the practice of ""regulation by guidance."" Notably, the DoJ and DoEd rescinded several guidance documents issued by the Obama administration encouraging the use of race-based admissions in colleges, including the following: two December 2011 <a href=""https://www2.ed.gov/about/offices/list/ocr/docs/guidance-pse-201111.html"">guidance</a> <a href=""https://www2.ed.gov/about/offices/list/ocr/docs/guidance-ese-201111.html"">documents</a>, a September 2013 <a href=""https://www2.ed.gov/about/offices/list/ocr/letters/colleague-201309.pdf"">letter</a> and <a href=""https://www2.ed.gov/about/offices/list/ocr/docs/dcl-qa-201309.pdf"">Q&A</a> document issued after the Supreme Court <a href=""https://supreme.justia.com/cases/federal/us/570/11-345/#tab-opinion-1970745"">ruled</a> in <i>Fisher v. UT Austin I</i>, a May 2014 <a href=""https://www2.ed.gov/about/offices/list/ocr/letters/colleague-201405-schuette-guidance.pdf"">letter</a> issued after the Supreme Court <a href=https://supreme.justia.com/cases/federal/us/572/12-682/#tab-opinion-1970866""https://supreme.justia.com/cases/federal/us/572/12-682/#tab-opinion-1970866"">ruled</a> in <i>Schuette v. Coalition to Defend Affirmative Action</i>, and a September 2016 <a href=""https://www2.ed.gov/about/offices/list/ocr/docs/qa-fisher-ii-201609.pdf"">Q&A</a> document issued after the Supreme Court <a href=""https://supreme.justia.com/cases/federal/us/579/14-981/#tab-opinion-3589817"">ruled</a> in <i>Fisher v. UT Austin II</a>."
50,,,8/3/2018,Repealed,,Guidance,Guidance rescinded by secretary of the interior,Environmental,DOI,Department of the Interior,,Endangered Species Act: Compensatory Mitigation Policy,,,,,,,,,,,,,,,,Withdrawal of a comprehensive program that required developers to compensate for the impacts of their activities on public lands.,"Compensatory mitigation is when developers must offset the unavoidable impacts of their activities on public lands, after all appropriate and practical measures are taken, by replacing or providing substitute resources or environments through restoration, establishment, enhancement, or preservation. Previously,interagency policies had established compensatory mitigation policies. For example, both the 1995 interagency policy on the establishment and operation of wetland mitigation banks (<a href=""https://www.federalregister.gov/citation/60-FR-58605"">60 FR 58605</a>, November 28, 1995) and the 2000 interagency policy on the use of in-lieu fee arrangements (<a href=""https://www.federalregister.gov/citation/65-FR-66914"">65 FR 66914</a>, November 7, 2000), establish compensatory mitigation policies, but are specific to wetland mitigation. 
<br><br>
The Endangered Species Act Compensatory Mitigation Policy (CMP) was the first comprehensive treatment of compensatory mitigation to be issued by the Fish and Wildlife Service (Service). The primary intent of the policy was to provide Service personnel with direction and guidance in planning and implementing compensatory mitigation. It primarily did this through encouraging strategic planning at the landscape level and setting standards that mitigation programs must meet to achieve conservation that is effective and sustainable. The rule was <a href=""https://www.federalregister.gov/documents/2016/12/27/2016-30929/endangered-and-threatened-wildlife-and-plants-endangered-species-act-compensatory-mitigation-policy"">finalized and effective</a> on December 27, 2016. 
<br><br>
On November 6, 2017, the Service issued a <a href=""https://www.federalregister.gov/documents/2017/11/06/2017-23965/mitigation-policies-of-the-us-fish-and-wildlife-service-request-for-comments"">request for comment</a> for both this rule and for its Mitigation Policy, intending to solicit input regarding the removal of net conservation gain as a mitigation planning goal in its mitigation policies. On July 30, 2018, the Fish and Wildlife Service <a href=""https://www.federalregister.gov/documents/2018/07/30/2018-16171/endangered-and-threatened-wildlife-and-plants-endangered-species-act-compensatory-mitigation-policy"">withdrew</a> the Compensatory Mitigation Policy."
51,,,8/3/2018,Repealed,,Guidance,Guidance rescinded by secretary of the interior,Environmental,DOI,Department of the Interior,,Endangered Species Act: Mitigation Policy,,,,,,,,,,,,,,,,Withdrawal of guidance on how the service recommends mitigating adverse impacts of developer actions on species and habitats.,"Existing guidelines established in 1981 (46 FR 7644-7663) outlined how the Fish and Wildlife Service (Service) recommends mitigating the adverse impacts of land and water developments on species and habitats. On November 6, 2017, the Service issued a <a href=""https://www.federalregister.gov/documents/2017/11/06/2017-23965/mitigation-policies-of-the-us-fish-and-wildlife-service-request-for-comments"">request for comment</a> for both this rule and for its Compensatory Mitigation Policy (see entry for Endangered Species Act: Compensatory Mitigation Policy), intending to solicit input regarding the removal of net conservation gain as a planning goal in its mitigation policies.On November 21, 2016, the Fish and Wildlife Service (Service) <a href=""https://www.federalregister.gov/documents/2016/11/21/2016-27751/us-fish-and-wildlife-service-mitigation-policy"">finalized a rule</a> that amended existing guidelines.The revised policy provided a framework for achieving a net gain in conservation outcomes, or at minimum, no net loss of resources and their values, services, and functions.On July 30, 2018, the Service <a href=""https://www.federalregister.gov/documents/2018/07/30/2018-16171/endangered-and-threatened-wildlife-and-plants-endangered-species-act-compensatory-mitigation-policy"">withdrew</a> the Mitigation Policy amendments; all policies superseded by the 2016 amendments were reinstated."
52,,,8/3/2018,In Rulemaking,,,,Environmental,DOI,Department of the Interior,,Endangered Species Interagency Cooperation,7/25/2018,https://www.federalregister.gov/documents/2018/07/25/2018-15812/endangered-and-threatened-wildlife-and-plants-revision-of-regulations-for-interagency-cooperation,,trump,progress,,,,,,,,,,,A rule that streamlines and clarifies interagency consultation process.,"Section 7 of the <a href=""https://api.fdsys.gov/link?collection=uscode&title=16&year=mostrecent&section=1531&type=usc&link-type=html"">Endangered Species Act</a> requires federal agencies to consult with the Fish and Wildlife Services and National Marine Fisheries Service (collectively referred to as ""Services"") before taking any discretionary action that could jeopardize the existence of a listed species, or could destroy or adversely modify designated critical habitat. The <a href=""https://www.federalregister.gov/documents/2018/07/25/2018-15812/endangered-and-threatened-wildlife-and-plants-revision-of-regulations-for-interagency-cooperation"">proposed rule</a> would exclude discretionary actions that wouldn't result in appreciable impact on listed species or critical habitat, or where the anticipated impact is small or inevitable. Further, the proposal would eliminate specific examples of when consultation is required, and the Services would only consider alterations impacting critical habitat ""as a whole."" The rule also eliminates references to ""indirect effects"" and effects of ""interrelated and interdependent"" actions of discretionary actions. It would also ""avoid inclusion of activities whose occurrences would be considered speculative."" 
<br><br>
These changes would result in fewer activities triggering Section 7 consultation. In instances when consultation is triggered, the rule makes the following notable changes: 1) clarifies what submissions are necessary to initiate consultation, 2) creates an ""expedited consultation"" process that would be available for proposed actions that, based on the Services' experience with other similar activities, would have minor or predictable effects, and 3) clarifies that the Services may only block activities using Section 7's jeopardy standard if those activities themselves would appreciably harm listed species."
53,,,11/17/2017,In Effect,,,,Health,HHS,Department of Health and Human Services,,Expanding State Flexibility to Define Essential Health Benefits and Qualified Health Plans,11/2/2017,https://www.federalregister.gov/documents/2017/11/02/2017-23599/patient-protection-and-affordable-care-act-hhs-notice-of-benefit-and-payment-parameters-for-2019,,trump,progress,4/17/2018,https://www.federalregister.gov/documents/2018/04/17/2018-07355/patient-protection-and-affordable-care-act-hhs-notice-of-benefit-and-payment-parameters-for-2019,,trump,progress,6/18/2018,,,trump,progress,A rule granting states more flexibility in meeting the Affordable Care Act's standards for essential health benefits and qualified health plans.,"This rule, issued by the Department of Health and Human Services (HHS), sets 2019 payment parameters and includes additional guidance related to key provisions of the Affordable Care Act (ACA), including essential health benefits, qualified health plan standards, risk adjustments, and hardship exemptions. The rule gives states more options in what they can choose as an essential health benefits benchmark plan. It also gives states an expanded role in the qualified health plan certification process; additionally, the rule eliminates the ""<a href=""https://www.shvs.org/wp-content/uploads/2015/03/State-Network-Georgetown-Guide-to-Meaningful-Difference-March-2015.pdf"">meaningful difference</a>"" requirement, which required qualified health plans to be meaningfully different from all other plans in the tier. Two guidance documents accompanied the rule. <a href=""https://www.cms.gov/CCIIO/Resources/Regulations-and-Guidance/Downloads/2018-Hardship-Exemption-Guidance.pdf"">The first</a> expanded the <a href=""https://www.investopedia.com/terms/h/hardship-exemption.asp"">hardship exemption</a>, which exempts individuals facing certain hardships from maintaining health insurance; the guidance expands the exemptions to allow individuals who live in counties with one or no health insurance providers to be exempt from paying the penalty for not holding health care coverage. <a href=""https://www.cms.gov/CCIIO/Resources/Regulations-and-Guidance/Downloads/Extension-Transitional-Policy-Through-CY2019.pdf"">The second</a> expands the transitional policy for one year, allowing individual and small group health insurance markets to delay their full compliance with ACA coverage policies until 2019. Brookings Fellow Matthew Fiedler <a href = ""https://www.brookings.edu/2017/05/02/allowing-states-to-define-essential-health-benefits-could-weaken-aca-protections-against-catastrophic-costs-for-people-with-employer-coverage-nationwide/#cancel"">offered criticism</a> of similar congressional attempts to rework essential health benefit compliance."
54,,,4/1/2019,In Rulemaking,,,,Health,DoL,Department of Labor,,Expanding Eligibility for Association Health Plans,1/5/2018,https://www.federalregister.gov/documents/2018/01/05/2017-28103/definition-of-employer-under-section-35-of-erisa-association-health-plans,,trump,progress,6/21/2018,https://www.federalregister.gov/documents/2018/06/21/2018-12992/definition-of-employer-under-section-35-of-erisa-association-health-plans,,trump,progress,3/28/2019,https://ecf.dcd.uscourts.gov/cgi-bin/show_public_doc?2018cv1747-79,Invalidated,court,block,"A rule expanding the eligibility of groups for association health plans, which are not subject to certain Affordable Care Act standards. ","On October 12, 2017, President Trump issued <a href = ""https://www.federalregister.gov/documents/2017/10/17/2017-22677/promoting-healthcare-choice-and-competition-across-the-united-states"">Executive Order 13813</a>, which directed relevant federal agencies to review certain Affordable Care Act (ACA) regulations in an effort ""to provide meaningful choice and competition between insurers,"" including review of association health plans (AHPs). AHPs are arrangements whereby individuals or employers can band together for coverage, across state lines. Importantly, AHPs allow groups to purchase coverage that can escape more stringent ACA regulations, including the essential health benefits. 
<br><br>
On January 2018, the Department of Labor (DoL) <a href = ""https://s3.amazonaws.com/public-inspection.federalregister.gov/2017-28103.pdf"">proposed</a> expanding the scope of groups and individuals eligible for banding together as associations, and receiving coverage through AHPs. The rule was <a href=""https://www.federalregister.gov/documents/2018/06/21/2018-12992/definition-of-employer-under-section-35-of-erisa-association-health-plans"">finalized</a> on June 21, 2018, and was set to be effective August 20, 2018; compliance dates for various plans were set through April 1, 2019. Some <a href = ""https://www.brookings.edu/blog/up-front/2017/10/13/states-have-already-tried-trumps-health-care-order-it-went-badly/"">critics have noted</a> AHPs' relatively bleak track record thus far. Indeed, attorneys general from 11 states and the District of Columbia filed a lawsuit against the rule. <br><br><em class=""status"">On March 28, 2019, a federal judge struck down the rule, calling the efforts ""<a href=""https://ecf.dcd.uscourts.gov/cgi-bin/show_public_doc?2018cv1747-79"">clearly an end-run around the ACA</a>.""</em> The administration can seek a stay and appeal the decision, revisit and revise the rule, or rescind the rule. <span class=""new"">The following Friday, a Justice Department spokeswoman stated that the administration disagrees with the ruling and is ""<a href=""https://www.washingtonpost.com/nation/2019/03/29/clearly-an-end-run-federal-judge-strikes-down-trump-administrations-health-plan-go-around-obamacare/?utm_term=.f1eb154add41"">considering all available options</a>"" moving forward.</span>
"
55,,,8/10/2018,In Rulemaking,,,,Financial,"DHS, Treasury","Department of Homeland Security, Department of the Treasury",,Facilitating Drawback Claims,8/2/2018,https://www.federalregister.gov/documents/2018/08/02/2018-16279/modernized-drawback,,trump,progress,,,,,,,,,,,A rule that establishes a process to make it easier for importers to file drawback claims. ,"Drawback is the (partial or whole) refund or remission of duties, taxes, and fees on imported merchandise that is then exported or destroyed. The <a href=""https://www.congress.gov/bill/114th-congress/house-bill/644"">Trade Facilitation and Trade Enforcement Act of 2015</a> (TFTEA) made changes to refund law to make it easier for importers to file claims, and U.S. Customs and Border Protection (Customs) was supposed to issue regulations implementing these changes by February 24, 2018. However, it failed to do so. 
<br><br>
In response, a group of importers and customs brokers challenged Customs for not fulfilling its duty to provide regulations (Tabacos de Wilson, Inc. v. United States). On June 29, 2018, The Court of International Trade issued an <a href=""https://www.bloomberglaw.com/public/desktop/document/Tabacos_De_Wilson_Inc_v_United_States_No_Court_No_1800059_2018_BL?1533826119"">opinion</a> that the failure to meet the deadline violates the law, and that if the agencies are unable to issue regulations by July 5, 2018, then they should consider issuing those portions that satisfy the requirements of TFTEA in advance of any other portions that remain unresolved. On July 19, 2018, House Ways and Means Chairman Kevin Brady (R-TX) and Subcommittee Chairman Dave Reichert (R-WA) wrote a <a href=""https://waysandmeansforms.house.gov/uploadedfiles/tftea_letter.pdf"">letter</a> to the administration calling the delay ""unacceptable"", and insisted that the regulations be finalized and published on the Federal Register ""without further delay"". 
<br><br>
On August 2, 2018, Customs and the Department of the Treasury <a href=""https://www.federalregister.gov/documents/2018/08/02/2018-16279/modernized-drawback"">proposed a rule</a> to establish a new process for drawback regulations. The proposed rule would liberalize the merchandise substitution standard, simplify recordkeeping requirements, extend and standardize timelines for filing drawback claims, and require electronic filing of drawback claims. Members of the public will be able to submit comments on the proposed regulations through September 16."
56,,,10/23/2017,Repealed,,,,Agriculture,USDA,U.S. Department of Agriculture,,Farmer Fair Practice Rule (Scope of Anti-Competitive Practices),,,,,,12/20/2016,https://www.federalregister.gov/documents/2016/12/20/2016-30424/scope-of-sections-202a-and-b-of-the-packers-and-stockyards-act,,obama,progress,10/18/2017,https://www.federalregister.gov/documents/2017/10/18/2017-22593/scope-of-sections-202a-and-b-of-the-packers-and-stockyards-act,Withdrawn,trump,block,A rule clarifying that certain conduct by meatpackers and poultry dealers may violate the Packers and Stockyards Act without necessarily being anti-competitive.,"The Farmer Fair Practice Rules address concerns about perceived anti-competitive behavior between contracted poultry growers and poultry dealers. In <a href=""http://www.opn.ca6.uscourts.gov/opinions.pdf/10a0127p-06.pdf""><i>Terry v. Tyson Farms</i></a> (2010), the Sixth Circuit Court of Appeals ruled that Tyson's decision to intentionally harm poultry contractor Alton Terry was legal and not anti-competitive because Terry was harmed by Tyson specifically, and not by the poultry industry as a whole. This interim final rule clarified that certain actions by poultry dealers would be considered violations of the Packers and Stockyards Act, even if the actions were not anti-competitive in nature, such as Tyson's. 
<br><br>
In response to President Trump's <a href=""https://www.whitehouse.gov/the-press-office/2017/01/20/memorandum-heads-executive-departments-and-agencies"">regulatory freeze</a> on January 20, 2017, the Department of Agriculture (USDA) <a href=""https://www.federalregister.gov/documents/2017/02/07/2017-02496/scope-of-sections-202a-and-b-of-the-packers-and-stockyards-act"">delayed</a> the effective date of the rule to April 22, and on April 12 <a href=""https://www.federalregister.gov/documents/2017/04/12/2017-07360/scope-of-sections-202a-and-b-of-the-packers-and-stockyards-act"">further delayed</a> the effective date to October 19, 2017. <em class=""status"">On October 18, 2017, the USDA <a href=""https://www.federalregister.gov/documents/2017/10/18/2017-22593/scope-of-sections-202a-and-b-of-the-packers-and-stockyards-act"">withdrew</a> the rule.</em> Two other proposed rules are part of the Farmer Fair Practice Rules: <a href=""https://www.federalregister.gov/documents/2016/12/20/2016-30430/unfair-practices-and-undue-preferences-in-violation-of-the-packers-and-stockyards-act"">The first</a> concerns unfair practices and undue preferences, and was <a href=""https://www.federalregister.gov/documents/2017/10/18/2017-22588/unfair-practices-and-undue-preferences-in-violation-of-the-packers-and-stockyards-act"">withdrawn</a> on October 18, 2017. <a href=""https://www.federalregister.gov/documents/2016/12/20/2016-30429/poultry-grower-ranking-systems"">The second</a> concerns poultry grower ranking systems, and is still in the proposed stage. "
57,,,11/17/2017,In Effect,,Guidance,New guidance from the FDA commissioner,Health,FDA,Food and Drug Administration,,Fast-Tracking Gene and Cell Therapy FDA Approval Process,,,,,,,,,,,,,,,,New guidance documents outlining a process for fast-tracking gene and cell therapies through FDA review.,"On November 16, 2017, the FDA <a href = ""https://www.fda.gov/NewsEvents/Newsroom/PressAnnouncements/ucm585345.htm"">issued</a> two final guidances and two draft guidances outlining a new process for fast-tracking gene and cell therapy treatments through the FDA approval process. Established gene and cell therapy treatment producers <a href = ""https://www.nytimes.com/2017/11/16/health/fda-gene-cell-therapy.html"">praised</a> the move, and some public advocacy organizations recommended a more cautious regulatory approach."
58,,,10/19/2017,In Effect,,,,Environmental,DoE,Department of Energy,,Fast-Tracking Small-Scale Natural Gas Exports,9/1/2017,https://www.federalregister.gov/documents/2017/09/01/2017-18580/small-scale-natural-gas-exports,,trump,progress,7/25/2018,https://www.federalregister.gov/documents/2018/07/25/2018-15903/small-scale-natural-gas-exports,,trump,progress,8/24/2018,,,trump,progress,A rule expediting the applications approval process for small-scale U.S. exporters of natural gas to non-free trade agreement countries. ,"Prior to this rule, U.S. natural gas exporters had to <a href=""https://www.gpo.gov/fdsys/pkg/USCODE-2016-title15/html/USCODE-2016-title15-chap15B-sec717.htm"">apply</a> to export to non-free trade agreement countries; the process includes a public interest review. The Department of Energy (DOE) published an <a href=""https://www.federalregister.gov/documents/2017/09/01/2017-18580/small-scale-natural-gas-exports"">advanced notice of proposed rulemaking</a> on September 1, 2017. This ""small-scale rule"" lets smaller firms bypass the review if they 1) export 51.75 billion cubic feet per year or less, and 2) the proposed export qualifies for a categorical exclusion under the DOE's <a href=""https://www.gpo.gov/fdsys/pkg/CFR-2018-title10-vol4/xml/CFR-2018-title10-vol4-sec590-102.xml"">National Environmental Policy Act</a> regulations.  The rule was finalized <a href=""https://www.federalregister.gov/documents/2018/07/25/2018-15903/small-scale-natural-gas-exports"">July 25</a> and took effect August 24, 2018.

"
